consensusClass,cor_pval,separationLevel,LumP,LumNS,LumU,Stroma-rich,Ba/Sq,NE-like
Ba/Sq,5.67295749183134e-42,0.767894203177318,0.404527688055215,0.380395955434906,0.414101206497553,0.406778049104793,0.442051519683075,0.227128403961182
LumP,1.96112687886564e-82,0.372111598135561,0.594708996732991,0.520276204696588,0.540787002787871,0.379325538938469,0.345179802751593,0.18123396590931
LumP,2.54393200896206e-102,0.352125330391066,0.64786351763297,0.594233375610066,0.607261806637395,0.470884228914364,0.447487354192141,0.182923426858825
LumP,2.87064877442467e-110,0.549721375014673,0.666484822542882,0.594195847712756,0.592495853684124,0.477471557485609,0.407276583831495,0.210588200045689
Ba/Sq,3.05151809571381e-44,0.398793916836986,0.287378250164883,0.272698040031354,0.285551353604828,0.38659330503295,0.453010859804474,0.256733882973959
Ba/Sq,4.73108514361567e-84,0.923528665980671,0.39822893066067,0.335862718118349,0.376469280248351,0.403567418042626,0.599432663249065,0.271905468757175
LumP,2.76678264178222e-97,0.695804570611219,0.635345761790174,0.560929612694864,0.546764488016702,0.510027465947596,0.440007065013395,0.201461047116786
Ba/Sq,6.21401076054768e-101,0.714994779243399,0.334605841930755,0.281817019269595,0.283565419544186,0.404672529200842,0.644472113166172,0.189342012210153
Stroma-rich,5.54059490039825e-60,0.709072044445878,0.487094964216807,0.470513234648337,0.454280189389182,0.519713707569429,0.490705848090348,0.198570708986531
LumP,2.04832145498686e-90,0.260949971043903,0.617283941081188,0.560844773396247,0.582262408238824,0.40530742201771,0.349229129917322,0.183576683649021
LumP,2.77601933632077e-81,0.375142200033677,0.591299640822231,0.497127943118271,0.536775422466269,0.381360068707143,0.394785735301245,0.167211932192522
LumP,4.76433634819728e-91,0.448810829433131,0.618999880912798,0.559966111884345,0.577129747136507,0.491451103218059,0.401730834154971,0.265924726322437
LumU,2.52625644631694e-73,0.0526330352342411,0.562200176769812,0.494099923702738,0.566547824657159,0.427714701527133,0.473789677052962,0.262170717038125
LumP,8.09855313939135e-83,0.625800858423996,0.595837794575574,0.530492470399302,0.532111650933403,0.457520427068561,0.427999582420387,0.251821346343969
NE-like,3.61921688995491e-53,0.630477075830819,0.227523818795783,0.243561038655127,0.330539606508399,0.222133500560392,0.112087888300599,0.492623036096517
LumP,7.38855967179814e-123,0.632901239845418,0.693457181830669,0.580281671660434,0.588549175146268,0.470353103103339,0.475118073037528,0.210212073986104
Ba/Sq,2.80484577251487e-84,0.849664830558562,0.350042797712333,0.286252527489689,0.303991663320414,0.36806959155313,0.600089467633504,0.196374195491954
LumU,1.77296717326055e-50,0.270769559560211,0.462239197107309,0.40483713478631,0.481222049041483,0.362468100993492,0.417392886315435,0.294572184283447
LumU,5.93600750103802e-55,0.363464572955713,0.470233561663359,0.427152442482041,0.499957809614064,0.377797575133967,0.409202542987557,0.268801716873345
Ba/Sq,5.0508448514271e-87,0.578714370245099,0.36563856495881,0.348300416135072,0.367467744444652,0.468233425221875,0.6079102372571,0.305289518814147
Stroma-rich,2.27396736998335e-61,0.09723124893677,0.449126729614473,0.49609842247182,0.519851818118305,0.524939644320069,0.436081612271668,0.281156747935694
Ba/Sq,2.98510241338092e-110,0.606881939202591,0.326877533876074,0.309768840703024,0.315493486907353,0.456913813169249,0.666446428962132,0.233635730799581
Ba/Sq,1.84877764968975e-60,0.301249775816172,0.477378455339798,0.364138397745531,0.382044791389641,0.367937720662006,0.52152029568884,0.185791199000427
LumP,3.43380175363971e-53,0.356542220700856,0.492718013896793,0.472774084913883,0.474086441733898,0.480225659191099,0.487169516895464,0.236924741337141
LumP,1.01509132270357e-77,0.796746109318768,0.580479975432214,0.545924322807284,0.552248639521002,0.524336707303519,0.544169048149148,0.302180315232986
LumP,2.64206807583107e-93,0.655913363393011,0.625026638853875,0.522087073535935,0.524498583592468,0.421437748214218,0.338134493597835,0.17429909199745
LumU,1.02867263761687e-79,0.432873787966232,0.539162628578263,0.518088386655677,0.586585778012134,0.435974732904103,0.357574012793583,0.244240000254811
Stroma-rich,3.01702425580221e-64,0.39739362542861,0.322760946123446,0.386162988789393,0.367716431737255,0.535499577121433,0.472488896783211,0.284826605465064
Ba/Sq,1.26019368097761e-67,0.128760460042074,0.502368900967997,0.474196085568924,0.458396935606756,0.539824686744477,0.547442105650729,0.229615551770128
Stroma-rich,1.30172665522698e-46,0.31940419204268,0.184979818925587,0.265367006904358,0.251580577495287,0.464045818474562,0.405887626242832,0.298557886585376
Ba/Sq,1.62348062377499e-67,0.76391533775858,0.420157428394998,0.409220968123929,0.437186786788789,0.456621857489113,0.547060780671546,0.277455436597931
LumU,8.59802788545864e-87,0.295946637180081,0.577592139786694,0.563265565848451,0.607260196580976,0.450758838732772,0.304242138403698,0.261778964129439
LumP,1.53015467357645e-88,0.689801220949865,0.612145935542698,0.553770478518199,0.546710315298731,0.508328573183604,0.413899574103057,0.186334970323484
LumU,1.09252207790838e-79,0.167905655904463,0.524020358282231,0.578994533295336,0.586506536880141,0.559513852549458,0.440835760491173,0.2650028718916
LumP,8.7781098126348e-111,0.529858738890262,0.667645682462038,0.58398589450649,0.577261061689683,0.442248824832187,0.366879949997665,0.196172357454252
Ba/Sq,7.76395047380708e-66,0.643660552236589,0.263399356271812,0.247597454479821,0.278920320822615,0.388001840894048,0.541176969986518,0.327483590644814
LumU,2.4776475947598e-48,0.300561024317884,0.450321207453551,0.401312978092489,0.471810965975673,0.354392384222471,0.399311314222168,0.237447461226844
LumP,4.78684953876451e-104,0.237197926049743,0.652020284603965,0.639824567829905,0.616182865047119,0.585026140856988,0.487134256428751,0.232930691810718
Ba/Sq,6.73280701761582e-75,0.49876197449822,0.298346214728759,0.289688323388012,0.307247320072701,0.437538313647774,0.571614254087135,0.297473559078186
LumU,6.60745934221637e-80,0.341925527176145,0.540508557124694,0.502541350398708,0.58716758437393,0.398874579855445,0.266544160605152,0.272853730382124
LumP,1.24892707172541e-104,0.599814349049026,0.653411334939588,0.542652631910194,0.547805620180711,0.412042033941372,0.400532215005977,0.112824348022161
LumP,4.35196423499748e-92,0.153613352397579,0.621792650909628,0.615875569217545,0.601503980158984,0.565042684071416,0.416731095103524,0.214590577281037
LumP,7.58016318524424e-84,0.116948111718545,0.598839157674053,0.526208147261607,0.582232710758388,0.387473330999786,0.328599015768396,0.285978711344651
LumU,6.49200931622487e-51,0.319085532801934,0.437621253328495,0.395886777055739,0.483100727731941,0.285253340753094,0.200426214864342,0.180767384563337
LumU,3.08262462154837e-81,0.632246593625933,0.505291116336515,0.512218930026848,0.591164021758108,0.427308126654227,0.311716914982922,0.329698317132247
Ba/Sq,7.51497487025696e-78,0.392874108492156,0.516151224422877,0.405622254294034,0.426612071714066,0.393270080238243,0.580883750655887,0.204157570028217
LumP,1.64908594708749e-89,0.650762160344763,0.614811319191636,0.497000861893266,0.516722536416786,0.415665103272873,0.431163613271406,0.214371462623906
Stroma-rich,2.4985249981826e-53,0.428886180720005,0.353977700968544,0.387726309266306,0.425607766692686,0.493291633141509,0.456139541366056,0.312469466106467
LumU,1.28552725603453e-83,0.403467312196536,0.53945238210042,0.506941613980341,0.598172607824834,0.398325618648932,0.330415732945925,0.265822993131305
Stroma-rich,1.20316542051571e-64,0.360677980324841,0.469584015492074,0.466060351965051,0.464304621195022,0.536935849591936,0.512008072175489,0.261736917415717
LumP,3.79204938734534e-101,0.565957540553631,0.644999092849965,0.570317777364699,0.57653265170259,0.474536577443982,0.477731370672794,0.253796821619159
LumU,7.35846507874781e-66,0.117513798804275,0.531448024730497,0.495510659566093,0.541259377253092,0.420025959694236,0.35486009239657,0.241240514532184
Stroma-rich,8.59375160023333e-57,0.926539788176651,0.34364822000277,0.39114697222502,0.37313157118092,0.507333209206202,0.390738845885819,0.272029348570544
LumP,2.49608469129064e-94,0.548813453347602,0.627720927019755,0.515559129042352,0.538004968222387,0.412937537155545,0.400631195663188,0.238155896321319
LumP,2.19588961912939e-95,0.592674355625893,0.630469156139412,0.540964345460289,0.54517483563071,0.432145348289472,0.426651249307482,0.1563953964361
LumP,2.58410036342077e-95,0.649726112401987,0.630285964073672,0.552632212765615,0.552671562520166,0.446194668462258,0.469025501924703,0.164657026023635
LumP,3.66766521009662e-109,0.565447701144311,0.663970942935906,0.598380455907944,0.594132628755379,0.5018143727258,0.430021851887326,0.232230569076651
