Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
X383_CWZ3517.2,0,0.120899002991845,0,0.0447928350863538,0,0.12574859851576,0.192340294074624,0.220858289195005,0,0,0.0300204755117118,0,0,0,0.256618112369778,0.0493385007623414,0.0686059867998683,0.0693211841474395,0,0.147253143860644,0,0.00010067712390312,0.098,0.129054708223254,1.05587247874309,1.32589710043927
X386_CWZ3517.3,0.375756869055786,0,0.0203894528503347,0.0997229494636774,0,0,0,0,0.0596209334009718,0.0739573333960887,0.0932587265754546,0,0,0.245576673091868,0,0.0521584308369527,0,0,0,0.130156076017294,0,0,0.902,-0.00681416005181741,1.11282675808763,1.15059744468843
X387_CWZ3517.3,0,0.134216353010127,0.000526325202529106,0.0827750555560952,0,0.46694294528307,0.216392106855584,0.221335422770351,0,0,0.0854150599502525,0.0409254380020965,0.0397366047275015,0.048557429591678,0.125600932746412,0.241884037704455,0.0413309755786551,0.0410910322605588,0.0162963346153485,0,0,0,0,0.354986719510805,0.93726223479463,1.80302605385471
X388_CWZ3517.3,0,0.0305021275874125,0.0730848114335587,0.160953128926087,0,0.166881571570458,0.0533173058832387,0.0662382877198542,0,0,0,0,0.0081488555934821,0.0328393544904725,0.17931504927103,0.380976927547746,0.00428760290444282,0.0732301630471768,0.0474395759886699,0.0289677737329609,0,0,0.114,0.12452949802387,1.04135158800073,1.30618253569659
X389_CWZ3517.3,0.258020336825881,0,0,0,0.356889257765157,0,0,0,0.291787130681107,0,0.0147671952528852,0.152088283868644,0,0,0.0147023116838201,0,0.0179753351217427,0,0,0,0.0349352262103612,0,0.99,-0.0614762038960825,1.17826863492785,1.1411650774096
X390_CWZ3517.3,0,0.285554971521302,0,0.050487617533513,0,0.51479647967624,0.135940754572445,0.0986874994802543,0,0,0,0,0.0408029590555483,0,0.118376997158461,0.178531891789426,0.00217684751567218,0.0331061852393131,0,0.0746219626789552,0.0270348552199687,0,0.004,0.207461233792739,1.00162932970977,1.5601190214411
X392_CWZ3517.3,0,0.0207076306171252,0.000827756437912473,0,0,0.400050861473753,0.13439134610264,0.153427746658872,0,0,0,0.144911967549591,0,0.123748330680378,0.194110477180128,0.269885151644398,0,0.0660695603674023,0.102981424720567,0,0,0.084403268684729,0,0.352639011941136,0.939013658356996,1.6955155221175
X394_CWZ3517.3,0.094210053917408,0,0.121445475838801,0,0,0.27630242505508,0,0,0.106254780000405,0,0.0485478930409324,0.00347881696491742,0.0163119336208487,0,0,0.250397451278012,0,0.0217164650401804,0.154441791807775,0,0,0.00459604566602782,0.962,-0.0283428981380891,1.08210354621334,1.09770313223039
X397_CWZ3517.3,0.173958491555922,0,0,0,0,0.395054481566398,0,0,0.0645030830566985,0,0.0118215946615931,0.0811305837450927,0,0.195603003860517,0,0,0,0.00777056945318371,0,0.0886467679711165,0,0,0.992,-0.0740726041273653,1.14355266052318,1.01848857587052
X398_CWZ3517.3,0.345208597845815,0,0,0,0.180366583013981,0,0,0,0.0945971201926187,0,0.0338791498703653,0,0,0.42306219307728,0,0.097700238934452,0,0.036725688092747,0,0.102618639916983,0,0,0.374,0.0757589485530628,1.07871384437697,1.31415821094424
X399_CWZ3517.3,0.136905119244105,0.00458366497289704,0.0195811371402601,0.0358991184428464,0,0.439087804544811,0.0794068858979294,0,0,0,0.0520886654876118,0,0.0896195119823344,0.175781042047806,0,0.244215699508961,0.0387493604927671,0,0.146254632054808,0.0736215832914386,0,0.0993376487284539,0.00600000000000001,0.20085486311674,0.998734259305822,1.63513187383703
X400_CWZ3517.3,0.232234539284976,0,0.103540626556744,0.0737749067649905,0,0.370501182094556,0.0508164856584736,0,0.0339366297264683,0,0,0.0116132196607223,0.118512872355643,0.100978237294936,0.0185313654539725,0.174195012585669,0.147864063812128,0,0.0691558198503148,0,0,0.041851455571508,0.08,0.1366975708729,1.01925894694782,1.5475064166711
X401_CWZ3517.3,0.0545402124716477,0,0,0.0154235885807642,0,0.0318876409237232,0.426574138525154,0.165210033345618,0,0,0,0.0980614532700008,0.238632729370207,0.232974913602451,0,0,0,0.0955482330182457,0,0,0,0.0751618309071996,0.00600000000000001,0.198317304952917,1.00548762380952,1.43401477401501
X402_CWZ3517.3,0,0.114567383655559,0.0550022799811265,0,0,0.469683339711618,0.0774740228453536,0,0,0,0,0,0.0078618054492735,0,0.0628849440740614,0.200463968464327,0.143977047571533,0.00255270312462308,0,0.0210487869015268,0.00425735035780654,0,0.814,0.0124824749001786,1.07307429396249,1.15977363213681
X403_CWZ3517.3,0.155391523100354,0,0.0459666691153393,0.117527620130594,0,0.285001016457916,0.252951990934783,0,0.0158936543227051,0,0.134526155287267,0,0.0750616203838905,0.129691413104855,0.197995058952675,0.297110038379151,0.0638112118823649,0,0,0.0641659929082834,0,0,0,0.338201839139948,0.942731356801631,1.83509396496018
X405_CWZ3517.3,0,0.107365846147331,0.0050548187605937,0,0,0.510252516789084,0.0437092326767404,0,0.0984986077103832,0,0.126253836598779,0,0,0.0291489624534433,0.144790360563904,0.138430851071578,0.0711082137092089,0,0,0.122645174900651,0,0,0.092,0.131290666660862,1.03904468552242,1.3972584213817
X406_CWZ3517.3,0.0784057628569589,0,0.0100735815444569,0.0634578859505499,0,0.23331685829519,0.0749757957711637,0.0252121396681216,0,0,0.00747214573268821,0,0.0144230525939478,0.0130688918496169,0,0.397808619472416,0,0.227004079265188,0,0.234068182255684,0,0.0129148829336907,0.012,0.17135520656435,1.02095273487758,1.39220187818967
X407_CWZ3517.3,0.0817866825026947,0,0.0781811680567264,0,0,0.165316783468109,0.170132689242692,0,0,0,0.00661429159421651,0.0122126399711398,0.0469175973212721,0.0852379741030051,0.0783468171851194,0.17841643538805,0.0404162771910204,0.0331009939371211,0.137746403714495,0.0415314109951854,0,0,0.302,0.0870970564428288,1.03497228125398,1.15595816467085
