consensusClass,cor_pval,separationLevel,LumP,LumNS,LumU,Stroma-rich,Ba/Sq,NE-like
Ba/Sq,1.48875477993814e-52,0.658675307384509,0.330224056387535,0.208580254567558,0.252839782526178,0.23959777582594,0.492334220071248,0.113743532254672
Ba/Sq,9.38211888806888e-58,0.54504895881931,0.23279337894168,0.233807213176046,0.264916532463946,0.376486499714115,0.513458964279929,0.259395300443423
Ba/Sq,2.75878654715551e-59,0.823330317505476,0.312040942006274,0.237889589642715,0.264002411435158,0.32890061688238,0.519407954119676,0.156637126352991
Ba/Sq,1.37458179158146e-60,0.781382149283427,0.263624852169504,0.208849757278006,0.231152760909043,0.307943192716956,0.52437618876447,0.137364723970292
LumU,2.83815633681429e-70,0.931040481415713,0.507354710954017,0.513638549308197,0.558930255931831,0.513213132056482,0.483787944622729,0.2244110757109
NE-like,1.32163539688607e-41,0.942144843210173,-0.0102152664713672,0.00440100402516055,0.0574660450522534,0.087155091507012,0.0732206782518955,0.442349164854271
Ba/Sq,2.13617053324698e-61,0.894502725977882,0.464286836553914,0.432283041162164,0.449430893542117,0.464302789863918,0.527419217293158,0.18213291863479
LumU,1.34957852816838e-33,0.39403238074766,0.373174976014767,0.335959426761044,0.399657046420847,0.328938959656567,0.289607349431029,0.215809642842795
LumU,1.11699417742195e-69,0.356074662949726,0.524595329680568,0.528690671178166,0.5569197198925,0.430687202513847,0.330689766013329,0.215841576503892
Stroma-rich,1.47379026766413e-51,0.341489654742221,0.396873019845668,0.434185367146035,0.4633281722239,0.488115720149943,0.373021060371524,0.249458070872701
NE-like,1.42727433127864e-27,0.639487084760852,0.183293289702346,0.192702845302436,0.233609602745319,0.282550457010237,0.295857305288772,0.362867608391947
LumNS,1.84172361072769e-76,0.385572863999184,0.550642472946664,0.57905862566029,0.568505645531127,0.552735552072006,0.409979823564986,0.205582333974444
Ba/Sq,1.17863803016291e-41,0.142296682532846,0.315365162824755,0.314809750048762,0.315551208752054,0.424504743553449,0.442596038171983,0.153003229688113
Ba/Sq,4.54366348433977e-80,0.500784875903528,0.365205082784355,0.331588856553105,0.324911135186307,0.469098898594614,0.590180367446076,0.195345951839824
NE-like,4.27626702322684e-43,0.935029431077917,-0.00615250832811878,-0.0105666635292459,0.0744197353010965,0.0432316982771725,0.0534606901530995,0.449659304420921
LumP,5.45332099762679e-62,0.637249967564186,0.529631455367311,0.419624045030259,0.446433518398543,0.378523318576814,0.375911452109444,0.213392927185839
LumP,3.35576177004161e-61,0.352036837404163,0.526683797200439,0.434809600248114,0.481849992784187,0.360499460826611,0.363847124990057,0.20300816246626
LumP,8.86577802534765e-60,0.617035361592613,0.521298073296249,0.402682312761619,0.436212122317216,0.351750353109657,0.364124288287102,0.199775779757911
LumU,3.17459557086517e-69,0.118926806405716,0.542660505171913,0.503239163905868,0.555377614163161,0.393651598105532,0.309816919268409,0.199932558732761
LumU,4.38974700264591e-54,0.506707269898696,0.479171842876876,0.468057790242525,0.498705814493854,0.452252234811678,0.383229930466118,0.194029870551889
LumU,4.63138313035077e-47,0.337584565967283,0.419095518756657,0.445482025117029,0.468290193259689,0.458722682925677,0.434416206478601,0.273897038356769
Stroma-rich,4.35279416451318e-36,0.788552278078413,0.2619253692045,0.306231490609459,0.315445232550251,0.413607999168319,0.332568767330643,0.216949385943977
LumU,1.19413165984079e-66,0.189707950671657,0.532279394368781,0.503594837973751,0.54646680720418,0.439767682706914,0.391184097939106,0.220362211462688
LumU,3.682169122531e-71,0.751003658186296,0.498292686992495,0.499954451207254,0.561901874772719,0.460538700860136,0.358746903983126,0.295585475404202
Stroma-rich,1.64743624660946e-69,0.140802510939406,0.364669792138391,0.401149993022867,0.377358660398013,0.556346983710459,0.53281991804532,0.230658919763686
LumU,9.31496035480972e-68,0.6322243767282,0.433865122486965,0.466317107764409,0.550333027548948,0.401022127246524,0.290910612396356,0.240793178841134
LumP,9.67238166231492e-49,0.00168730333629773,0.475850047521369,0.436713025207083,0.475772969319913,0.423624479840378,0.392094952848681,0.221577487888016
LumP,2.56092941171573e-35,0.0800323463160776,0.409368546619979,0.347903272784446,0.403325745757688,0.342172196642437,0.406667131813305,0.214393263554957
Ba/Sq,2.73046646532654e-73,0.603366324331151,0.293390686288831,0.267537334455565,0.275998880691201,0.397426956242356,0.568917177269964,0.1840548180259
Ba/Sq,2.67237506713689e-63,0.41487152027329,0.317148249143558,0.30079588158046,0.302533811052666,0.441272328626454,0.534460584746569,0.199256522814741
LumNS,1.03058679527442e-72,0.340348730242192,0.520960463956925,0.567033725935448,0.556953927481936,0.553874808928969,0.410381253220346,0.220381182721414
Stroma-rich,3.02526541326677e-64,0.615875301431956,0.412467061480787,0.466111410197137,0.477168455903172,0.53790101530906,0.400449116042367,0.224624390900309
LumU,4.53506620489152e-54,0.732359071479316,0.407280360783432,0.426361348820054,0.498647538372573,0.39260830053627,0.3293619918726,0.265959536949348
Ba/Sq,2.46682497481756e-55,0.0657485023611911,0.491914181912049,0.473825367619795,0.479007812227241,0.502606641520376,0.50381327640135,0.22608656318082
Stroma-rich,3.64793421075095e-66,0.515034859683774,0.535983778888734,0.538382351806624,0.528773577826149,0.544758276291569,0.450457875884849,0.236728711783388
Ba/Sq,2.80412439583555e-43,0.0869153233318142,0.359628130681844,0.374349807556993,0.376836182147609,0.444031666197788,0.450546252851567,0.135036539469055
LumU,8.77100756081617e-61,0.679968482374208,0.464106887154531,0.46271489942549,0.52511338856245,0.408072674297199,0.284330253285747,0.217914023580446
Stroma-rich,1.57007215390562e-75,0.748656205995234,0.5172093756807,0.52834523873764,0.507403494544093,0.57611864773834,0.462842172399393,0.244808694233035
Ba/Sq,1.05445078907197e-61,0.544618001550272,0.367757781703418,0.366208445592307,0.36645010997919,0.440630468065472,0.528565142099558,0.161583147273254
LumP,3.23448201016877e-97,0.647568046719108,0.637764316324478,0.508664805493167,0.521475101531471,0.407707085614313,0.378813727494383,0.162438088315697
Ba/Sq,4.26053182321083e-46,0.522175537713646,0.1908270545661,0.182310320291519,0.214279697119612,0.334934275787589,0.463866856756707,0.219625517519071
LumP,8.29151355228687e-54,0.399688399556444,0.497565808988528,0.454159646936568,0.472375143322483,0.439863016805833,0.483857130845899,0.188762744212968
LumU,5.02190908161647e-48,0.163236505389204,0.365202671382566,0.43655464884977,0.472654542743564,0.460938098492242,0.32735103390131,0.215989162251042
Stroma-rich,2.03117008806645e-66,0.799972984883146,0.456286573666547,0.474609278160229,0.457402948829912,0.545655349666106,0.414116803257735,0.224131835864711
LumP,7.70413485943269e-101,0.574407551178758,0.646842480669559,0.526202160043555,0.545376886094738,0.41419498547002,0.39517491923305,0.142230587975643
Stroma-rich,1.26247453320497e-75,0.956331837925612,0.511554262135855,0.509500684607559,0.48711350006903,0.576419153508556,0.507684099646156,0.218208157560423
Stroma-rich,4.42283550625493e-62,0.540269042072573,0.376825708475939,0.40840916033978,0.407512955797791,0.529969362013138,0.464052052516223,0.25563591910113
Ba/Sq,1.64852663353705e-56,0.817352212064039,0.408748177706386,0.381323402618502,0.420277916774107,0.431686076176256,0.50853569667978,0.19329059017792
Ba/Sq,6.10580406058185e-52,0.254161056077241,0.469497247928992,0.393443615412924,0.409585481433756,0.410579110143393,0.489744202188799,0.195131071050062
Ba/Sq,2.15794650930306e-64,0.342292502128167,0.25410416213542,0.265617383571479,0.25937613331207,0.443980780656204,0.538431003986585,0.217122117446392
NE-like,7.02975504787106e-32,0.765181251363058,0.17193727944905,0.144541999202704,0.223425718103617,0.172897204125259,0.155742973024476,0.389642129546553
LumP,6.77835813258924e-84,0.790820662601195,0.601521498031962,0.540345331346195,0.540657460130474,0.50877139349135,0.462856924559976,0.164755564395823
LumP,3.03736923851298e-69,0.113008073170319,0.555443015640035,0.551506292589383,0.548077086787548,0.493137407933906,0.382796061306538,0.129828812185679
Ba/Sq,3.26454939253387e-61,0.0861526290247502,0.518329208936867,0.422598563334753,0.435867500728329,0.421169732752282,0.526728718658339,0.149405087442614
